Gewerbeanmeldung|ID_OID_8957937
Gewerbe-Anmeldung weitere Gewerbetreibende|ID_OID_8957937_multi
Gewerbe-Anmeldung f. 2. Gesellschafter|ID_OID_8957937_1d
Beiblatt zur Gewerbeanmeldung|ID_OID_8957937_1bef
Gewerbe-Abmeldung|ID_OID_8957943
Gewerbe-Ummeldung|ID_OID_8961080
Erlaubnis für die Beförderung von Abfällen|ID_OID_9106233
Erlaubnis zum Betrieb eines Bewachungsgewerbes|ID_OID_8998818
Erlaubnis zum Betrieb einer Privatkrankenanstalt|ID_OID_10030372
Erlaubnis zum Betrieb eines Pfandleih - oder Pfandvermittlungsgewerbes|ID_OID_8998821
Erlaubnis zur Versteigerung fremder beweglicher Sachen, fremder Grundstücke oder fremder Rechte|ID_OID_8998824
Spielhallenerlaubnis|ID_OID_8965705
Antrag auf Erteilung einer Bestätigung für die Geeignetheit des Aufstellortes eines Spielgerätes|ID_OID_8965705_a
Antrag auf Erteilung einer Erlaubnis gem. § 33 c Gewerbeordnung (Aufstellung von Spielgeräten mit Gewinnmöglichkeiten|ID_OID_8965705_b
Veranstaltung anderer Spiele mit Gewinnmöglichkeit, Erlaubnis|ID_OID_8998848
Schaustellung von Personen, Erlaubnis|ID_OID_9106296
Nachweis Eintragung bei der Handwerkskammer (zulassungsfreies Handwerk / handwerksähnliche Gewerbe)|ID_OID_9106768
Sachverständiger Handwerk|ID_OID_8987910
Sachverständiger Handwerk|ID_OID_8987910_a
Sachverständiger (IHK), Öffentliche Bestellung und Vereidigung  |ID_OID_9106780
Vermittlerregister (für Versicherungsvermittler und –berater sowie Finanzanlagen- u. Immobiliardarlehensvermittler)|ID_OID_352143586
Honorar-Finanzanlagenberater, Erlaubnis|ID_OID_352143586_a
Honorar-Finanzanlagenberater, Erlaubnis|ID_OID_352143586_b
Antrag auf Eintragung in das Vermittlerregister von mitwirkenden Arbeitnehmern|ID_OID_352143586_c
Beiblatt für juristische Person|ID_OID_352143586_d
Antrag auf Eintragung in das Vermittlerregister nach §§ 34f Abs. 5/34h Abs. 1 Satz 4/34i Abs. 8, 11a GeW|ID_OID_352143588
Gewerbsmäßiger Immobiliardarlehensvermittler, Erlaubnis|ID_OID_352143588_a
Gewerbsmäßiger Immobiliardarlehensvermittler, Erlaubnis|ID_OID_352143588_b
Antrag auf Eintragung in das Vermittlerregister von mitwirkenden Arbeitnehmern|ID_OID_352143588_c
Beiblatt für juristische Person|ID_OID_352143588_d
Wirtschaftsprüfungsgesellschaft, Anerkennung|ID_OID_9751337
Eintragung in ein Berufsverzeichnis der Architekten- und Stadtplanerkammer / Antrag auf Eintragung in das Berufsverzeichnis der AKH|ID_OID_9385558
Bestellung als Wirtschaftsprüfer/in|ID_OID_9385620
Erfassungsbogen für Wirtschaftsprüfer/innen|ID_OID_9385620_a
Zulassung zur Rechtsanwaltschaft|ID_OID_9385635
Kammermitgliedschaft Ingenieurkammer        |ID_OID_9385704
Steuerberater/Steuerberaterin, Bestellung / Antrag auf Bestellung als Steuerberater/-in|ID_OID_9385725
Sachverständige/r, öffentliche Bestellung und Vereidigung durch die Architekten- und Stadtplanerkammer Hessen|ID_OID_9779606
Tätigkeit mit Krankheitserregern, Erlaubnis / Antrag auf Erteilung einer Erlaubnis für Tätigkeiten nach § 44 Infektionsschutzgesetz|ID_OID_9897742
Anzeige von Feuerwerken|ID_OID_10249802
Anzeige von Sprengungen (gewerblich)|ID_OID_10249752
Erlaubnis zum Führen von Schreckschuss-, Reizstoff- und Signalwaffen (Kleinen Waffenschein) beantragen|ID_OID_346499545
Sprengstoff, Erlaubnis zum Erwerb und zum Umgang (nichtgewerblich)|ID_OID_8965964
Unbedenklichkeitsbescheinigung nach § 34 1. SprengV|ID_OID_8965964_a
Private Feuerwerke, Erteilung einer Ausnahmegenehmigung|ID_OID_9904654
Unbedenklichkeitsbescheinigung nach 1. Sprengstoffverordnung (gewerblich)|ID_OID_345032260
Waffenhandelserlaubnis|ID_OID_9106648
Waffenherstellungserlaubnis|ID_OID_9106672
Nachweis Eintragung bei der Handwerkskammer[A]|ID_OID_9106672_a
Anzeige (Bestellung) der verantwortlichen Person nach § 21 Abs. 4 SprengG |ID_OID_346652284
Anzeige nach § 14 SprengG (Aufnahme eines Betriebes, Eröffnung einer Zweigniederlassung, Einstellung und Schließung) |ID_OID_345032282
Befähigungsschein (Umgang mit explosionsgefährlichen Stoffen)|ID_OID_10248355
Gewerblicher Umgang und Verkehr mit explosionsgefährlichen Stoffen, Erlaubnis|ID_OID_9106663_1
Handel mit Silvesterfeuerwerk |ID_OID_9106627
Kampfmittel-Beseitigung, Anzeige einer Räumstelle nach § 14 SprengG|ID_OID_345032291
Lagerung von explosionsgefährlichen Stoffen |ID_OID_10254545
Gewerblicher Umgang und Verkehr mit explosionsgefährlichen Stoffen, Erlaubnis|ID_OID_9106663
Umgang mit Airbag- und Gurtstraffereinheiten |ID_OID_9904626
Unbedenklichkeitsbescheinigung nach § 34 1. SprengV|ID_OID_UNBEDENKLICHKEIT_SPRENGV
Erlaubnis Makler Bauträger Baubetreuer|ID_OID_8960185
Antrag auf Erteilung einer Erlaubnis nach § 34d Abs. 1/e Gewerbeordnung (Versicherungsvermittler)|ID_OID_9106253
Antrag auf Eintragung in das Versicherungsvermittlerregister nach § 11a GeWO (juristische Person)|ID_OID_9106253_a
Antrag auf Eintragung in das Versicherungsvermittlerregister nach § 11a GeWO (natürliche Person)|ID_OID_9106253_b
Mitteilung über die Tätigkeit in einem anderen Mitgliedstaat|ID_OID_9106253_c
Antrag auf Erteilung einer Bestätigung für die Geeignetheit des Aufstellortes eines Spielgerätes|ID_OID_8998836
Antrag auf Erteilung einer Erlaubnis gem. § 33 c Gewerbeordnung (Aufstellung von Spielgeräten mit Gewinnmöglichkeiten|ID_OID_8998836_a
Antrag auf Erteilung einer Bestätigung für die Geeignetheit des Aufstellortes eines Spielgerätes|ID_OID_8998851
Anzeige Gaststättenbetrieb: Stellvertreter|ID_OID_8998830
Meldung der vorübergehenden Erbringung von Dienstleistungen gemäß § 8 EU/EWR HwV|ID_OID_10615382
Antrag auf Erteilung einer Ausnahmebewilligung nach § 8 der Handwerksordnung|ID_OID_10615330
Antrag auf Erteilung einer Ausnahmebewilligung nach § 9 der Handwerksordnung|ID_OID_10923143
Antrag auf allgemeine Beeidigung/Ermächtigung als Dolmetscher/in / Übersetzer/in|ID_OID_10614166
Antrag auf Erteilung einer Erlaubnis nach § 34f Abs. 1 GeWO (juristische Person)|ID_OID_344097462
Antrag auf Erteilung einer Erlaubnis nach § 34f Abs. 1 GeWO (natürliche Person)|ID_OID_344097462_a
Antrag auf Eintragung in das Vermittlerregister nach §§ 34f Abs. 5/34h Abs. 1 Satz 4/34i Abs. 8, 11a GeWO juristisch|ID_OID_344097469
Antrag auf Eintragung in das Vermittlerregister von mitwirkenden Arbeitnehmern|ID_OID_344097462_b
Beiblatt für juristische Person|ID_OID_344097462_c
Antrag auf Erteilung einer Ausübungsberechtigung nach § 7a Handwerksordnung|ID_OID_10615211
Antrag auf Erteilung einer Ausübungsberechtigung nach § 7b Handwerksordnung|ID_OID_10615240
Antrag auf Anerkennung der Geeignetheit als Träger für Bildungsurlaubsveranstaltungen|ID_OID_345332702
Antrag auf Wiedergestattung zur Ausübung eines Gewerbes|ID_OID_11022320
Antrag auf Ausstellung/Verlängerung/Eweiterung  einer Reisegewerbekarte|ID_OID_8965679
Gewerbemeldung, nachträgliche Ausstellung der Empfangsbescheinigung|ID_OID_GEWMELD_BESTAETIGUNG